HP1BP3	OR1Q1
PFDN4	CPT1B
BHLHE22	PDZD2
POMT2	SPRR1B
ESD	S1PR4
PIGT	POU2AF1
TRDN	ZNF302
ZNF738	ANKRD32
MIR494	TNFRSF17
SPRYD3	SUPT3H
ZNF770	PIP4K2C
ZNF594	SNORD43
TTC34	PSKH1
MAT1A	RPL15
BICD2	EPB42
MAP3K4	GPN1
SHFM5	CLCNKA
PTPRC	PNISR
PGP	ABP1
SLU7	FOXG1
KCTD17	ZGPAT
ZNF441	TRIM77
CAMK2N1	APOM
MYO15A	LRRC8E
OSBPL5	STX18
HLX	RAD18
ABHD12	ZNF382
DEFB119	IGBP1
ZCCHC24	PACRG
CLN6	EMILIN2
DAG1	RRAS2
NMI	TMEM25
C17orf53	CAMK1G
CUX2	IFT43
RAB43	PYCR1
SP2	CEBPD
MACC1	HID1
SPIB	SIRT5
SERINC2	XRCC6
B4GALT6	SCD5
FMNL2	CNOT6L
RBM23	TRMT1L
TIGD1	DCAF13
CDT1	LINC00320
IFNB1	TSTD1
SPTSSA	CNTRL
SPATA4	MOCOS
LOR	INSRR
FKBP8	AKR1C3
DSCAML1	CLPB
LBR	ALDH1A2
ITPRIPL1	HSPB11
GINM1	HMP19
TRAJ61	CHPF2
CYB5D1	C14orf169
HSPB2	FAM127A
LCN2	UTP3
GARNL3	NOMO2
SLITRK4	CYP39A1
ASIC5	PDLIM7
GSTK1	CYP4F8
SHBG	TRAPPC2B
RTCB	A4GALT
LINC01039	TBC1D10A
CA4	CACNB3
SPESP1	NAV3
SPCS3	NUDT18
OR4F17	RAF1
WWP2	AK3
TINAGL1	ARHGAP12
UPK2	SLC32A1
CCDC27	NDFIP1
NETO2	ACSF3
C18orf32	ZCCHC3
GOLGA8M	SLC19A1
DDX56	FARSA
ZNF280B	FABP7
DPT	S1PR3
ZNF829	ATP5EP2
ZNF772	NKAIN4
SLC20A1	RPS28
SAA3P	SDHB
RFC5	SMARCE1
GSE1	EIF2B3
ZCCHC8	PHOSPHO2
CLNK	MEGF10
KIF7	LRRC36
POTED	HOOK2
MZF1	LINC00424
TRAJ25	RPS6KB2
SLC33A1	ALS5
TPSG1	GGTA1P
LINC00681	MPO
MIPEP	MOSPD2
SLC4A8	ARHGAP5-AS1
FBXO31	NXNL1
LINC00528	PROL1
PARK16	ZC3H12A
GDAP1L1	GPR174
TRD	ESX1
KRTAP19-1	SPRR2B
RTN4	CRAT
PPP1R21	TMEM177
CNGA4	ZSCAN20
CAV1	LINC00412
CYB5B	PI3
PHLPP2	CNST
LAMB4	ERAF
MOB3B	ALMS1
ZBED1	DNAH11
PTTG1	NPY
OR4K14	SCGB2A2
RIIAD1	SMIM11
ACAD10	TNFRSF11B
ESRP2	PMPCA
MYOM3	LCE1C
S100A14	NADSYN1
ZNF33B	SERPINA11
AVEN	PILRB
MRT21	PLEKHM3
CAMSAP3	MRVI1
CORO2B	GAS6
TSPAN4	IFNAR1
SYT10	KCNA7
PDZD2	GPR31
PDSS1	HMHA1
LINC00473	DMRT3
DDX39A	TMEM183B
ARHGAP22	ZBTB41
NT5C	SEC14L1
DDOST	TTC25
ADRB1	TSSC1
JMY	HEPN1
MARVELD3	LINC00866
UBE2V2	TSEN15
MYLK4	ZNF256
ABI1	PELI3
FXR2	KLK3
MRX5	ATP6V0A1
ASB7	ZNF80
ZNF73	PDZRN3
NEUROG3	ASCC1
ARID1A	TBR1
OR51F2	MAPK8
UTP6	FUT5
TRPC6	H2AFZ
GRM7	DNAH17
AVEN	ZNF492
TEX15	CLDN10
LILRA5	QSOX2
ETNK1	HIST1H3A
HNRNPAB	MTMR6
LOC650157	KSS
KCNN3	ZNF696
CXXC4	RNASEH2B
SLC2A5	LINC00881
CA14	TOLLIP
LHX4	HSPB2
MTSS1	CDK10
CDK12	CITED4
PRB2	TCAIM
WDR76	ITGA11
RASSF4	ZNF250
DAZ1	C11orf68
SREBF2	CFAP20
DSCR8	APOL4
LEFTY1	KCNH7
MTG1	TPO
FBXO47	ACTR2
MIR30C1	HAUS3
LIMCH1	UBE3B
CPED1	CPPED1
CDCA7	ALKBH2
ATP5L2	TBC1D26
ATHL1	TRAJ38
CPNE8	ABCC2
INPP4A	CALML4
C1orf128	CXCL9
ADAMTS7	ATP5J2
OR10H3	ERI1
ITGA1	C1orf109
SNORA63	INTS1
PDE2A	SCN2B
OR4A4P	SYCP2
METTL15	RARRES1
NOP10	XDH
NUP62CL	PHF15
CLN3	DDX41
IL1RAPL2	ZNF546
MCM6	CLDN17
ALAD	ZNF33B
SMC1A	CPLX4
ZNF675	F2
CLCN7	RNR5
LGSN	CA10
MSRA	LINC00933
CCDC90A	DBX1
TGFB1I1	RNF11
HSF4	PNPLA8
MCTP1	ANGEL1
CCDC85B	CREBRF
KRTAP12-1	VPS13A
MRPL13	DSG4
RFX4	AK1
MAN1A2	ZNF225
MEX3D	APOBEC4
LIG4	ZKSCAN5
NQO2	NETO1
C1orf86	UTP23
PGR	NPHP1
SUMF2	ZNF575
INO80B-WBP1	AP4E1
FXYD5	HOXD11
PROX2	RPL37
SEMA4B	ARFGEF1
ABP1	NLGN4X
CPNE3	FAM109A
CACNB3	BRSK1
MT4	WNT6
ERCC6L2	ARTN
GKAP1	NOL12
LPAR3	RPS6KL1
RFC4	IFI27L2
DCLK3	RCBTB2
TMEM252	SFTPA2
SOSTDC1	RAD51B
C5orf42	LARS2
IL29	CYBRD1
LINC00458	TIRAP
IRF6	LINC00905
MRX23	TSSC2
MEGF11	ABHD15
NPS	ACPT
SEMA4D	ZNF223
KRTAP2-1	GPR65
BSG	SERINC3
SH3GLB2	RBM8A
PRDM13	HCG25
TRAF3	PNRC2
SAT2	BIK
ADAM29	ASZ1
CCND2	SCARB1
TMEM214	PACSIN2
LRRIQ1	CST9
CD163	RBM15
NAPA	IGLC2
OR4P4	FRMPD1
SERPINB13	PCYT1A
PLEC	ZBTB48
PHOX2A	RAX
P2RX5	RALGPS2
PREB	HTN1
OR4F15	PPTC7
TBX19	CAV2
TTLL6	ZNF586
RAD17	GLCCI1
TMX2	MLNR
MCTS1	TTL
CIAO1	RPGR
PRPS2	OR52J3
DCAF11	FBXO48
TAS2R30	SYNGR2
C1orf86	CCNC
TOMM34	CLDN12
ZP4	SYNCRIP
MAP2K6	XCL2
ZBTB8A	REEP6
BBS4	ZNF260
USP17L27	CEP350
TDO2	NMBR
CD1E	PAK3
PDIK1L	PSMA1
ERVFRD-1	ALDH1A2
TMEM105	NOS2A
IWS1	PREPL
DDX39A	TNS2
METTL20	OR2A7
RNF141	CXCL3
EXOSC3	HEMGN
LSM1	NME9
GAGE1	MOGAT2
SCAMP1	LINC00520
BRINP1	FNDC3B
ZFPM2	TOR1AIP1
LRRC55	FGFR3
TOMM40L	FDX1
OR2M4	LINC00207
PTPN20A	METTL16
EEF1D	CCL2
SF3A2	TRAJ4
SNORD74	FERMT3
INIP	PPP1R11
TAS2R42	OR56B1
PRAMEF17	CORO1B
DENND2C	PYGL
PPP3CA	SLAMF1
ZNF574	EDNRA
ATP5B	THBS4
NUCB2	SYCP2L
GPD1	IDH1
APOA1BP	RGS22
FILIP1	KCNC1
NAGLU	MS4A1
ANKRD39	AGPAT4
AHNAK	SCARA5
MIR203	SIGLEC16
LZIC	TRAJ45
SPATA24	SHBG
NRSN1	FOCAD
ACKR1	ZNF92
SLC12A9	SYNPO
KRT8	MT2A
WDR6	MAST1
CPAMD8	CCNT2
GRB14	CRMP1
ABHD1	RRP12
EIF3G	ZFYVE26
CBWD7	SF3B6
CEP76	DDX19A
IAPP	LINC00446
ZNF682	EPHB6
ZNF845	FER1L5
OR13F1	GAS2L2
TPT1	HIST1H1E
ZFAND5	RNR1
INHBB	CELF3
SDU	ZNHIT2
KLHL24	PIK3C3
CDKL4	AUTS1
ZFC3H1	DUSP22
OR51F1	PRSS33
PCDHGB2	CYP2C19
ZNF679	ZNF292
SLC30A7	SCN3B
NUP93	GJA10
ITGA6	LRTOMT
TRAJ42	VGLL2
ZMYM6NB	RGS1
CXCR4	TP53INP2
RAPGEF3	AKR1B1P2
RWDD4A	ORC5L
KRTAP8-1	TCFL5
LMNB2	ATN1
LYPD3	RPL7
ARHGAP19	GALR3
C8orf4	TRAJ2
TRAJ7	TTL
HIST1H1C	LSR
HPP1	DYT21
TNNI2	TMEM47
GDF9	ARID4A
KCNK3	UACA
CANT1	COG3
NR1I3	SIGLEC9
FAM169A	ZNF502
TRAPPC3L	ECSCR
UGT2B7	IMMP2L
PXMP4	CBL
ZNF691	MSL1
SCRN2	SLC4A10
PAQR8	SCGB1D4
CCNK	DIMT1L
ESR2	SNORD115@
LIX1L	HIST1H2AJ
CETP	CCDC175
MOB1A	SEPT5
EIF5AL1	TIRAP
TMEM40	EMC8
ULK1	WDR27
KCTD12	TCEB2
ANTXR1	LARP4
C19orf50	RPL23P8
NAPG	RPL24
NDP	SNX7
QPCT	ERAF
ZBED5	CLIC5
CCNT2	IDDM3
IQGAP3	NDUFA7
OPRK1	NODAL
AK3	GIMAP6
RNASE11	OSTF1
CUX2	CNOT3
MGMT	IGSF8
WISP2	DCSTAMP
POGLUT1	PTPN6
SMG7	GALNT16
DISC2	HOXA4
PSMA1	SLCO1C1
MIC7	EPHB3
MPP3	BRIP1
SIK1	ZNF554
FMO2	BASP1
NBPF10	MRXS5
ALDH1L2	ACTR5
TCF20	PDK3
GNG13	PCNA
ROCK2	GREM1
HHC2	ANKS1B
SLC38A10	RBMX2
NDUFA2	PIDD1
NELFB	OR2B8P
CREB5	TRAJ5
FAM184A	ASXL3
OPA2	CYP4A11
TMEM18	DNAJC30
VPRBP	CRYGA
GPR68	IRAK1BP1
GNG10	ZNF117
UBR7	NKAPL
PDF	ZFP82
SCAF11	ITGB4
GPD2	SCARA5
APOBEC3F	SLC25A51
CHRNA4	TAGLN
PACSIN3	TPMT
COL13A1	OR2L8
DOK4	OXSM
FTCD	NOTCH1
OR5D18	FOXA3
HSPBAP1	HEY1
S100A1	COQ5
ZBED6	TRIML1
SNX2	SCYL2
TMEM38B	NR2C2AP
MT1A	ARFRP1
GXYLT1	RABGAP1L
MRX15	HDHD3
ENO4	TPM2
ZNF644	DUSP1
OR8D4	LINC00501
PRSS50	MRX78
ZNF584	F11R
SIN3B	DCHS2
LINC00545	ACSS1
LINC00540	GNAQ
PDE7A	ARHGAP12
RPL7A	AHNAK
NDRG4	HP
RPEP3	TMEM184A
PI16	ANXA8L2
GFOD1	TAB1
GSTO1	DIAPH1
ABCG1	DDIT3
CHIT1	FBP1
AGXT2L1	TAAR3
UBE2J1	TRIM33
LINC00051	ASMD
SERTAD2	ZFP42
SLC25A46	PEX14
CXCR4	RNF112
LTB4R	TRIM5
LINC00399	OR51S1
MIR195	ALK
LRRC72	FCN1
SEMA3C	SAFB2
PROK1	ASCC2
ARPC5	PCBP3
UNC45A	EEF1E1
B3GNT9	VTN
NUPL2	SALL4
C1orf204	DAZ4
IDDM15	RUNX3
BCAT1	GNAQ
HUWE1	PVR
LINC00970	ZFAND2B
TMEM251	FAM76B
KSS	BEST1
SPARC	ATP6V0D1
LAP3	CNBP
PALB2	DYT7
TMEM183A	LINC00336
CCDC8	PKNOX1
B3GNT5	HEXIM2
ARHGAP11B	COMMD10
GID8	HEPN1
EYS	LGALS4
SNORD87	FNDC3A
HSPA8	E2F3
SLCO2B1	NCKAP1L
LIPT1	DCTPP1
SDSL	PHBP11
ACTL8	GINS4
ATP1B4	TLE6
PNPO	EVPL
TSC22D4	SLC9A8
USP22	ABCD1
FUT6	SIPA1L3
CTPS2	SYNE3
ZFHX3	B3GAT1
NOX5	OR52W1
PRB2	CYP4F22
MAD1L1	TLR10
LMAN2	GOLGA6L10
SERPINE1	HOXB6
ADH6	VTCN1
TOP2B	SLC25A47
ZMIZ2	SIX4
WNT2B	GFOD2
S100G	C22orf28
ORAI3	FAM96B
LYG1	FCGR1B
NFKBIZ	ALDOA
ICR4	DBP
IL9R	TMEM45A
TUFT1	CXCL13
FAM219A	TTC31
PRKAA2	ZNF222
FOXO1	HOXD9
NRBP1	TBX1
ACADL	APBB3
DEFB117	CMC4
REM2	KIF11
PARP6	IGLC6
WIPF1	LONRF2
HNRNPDL	TUBA3C
CCDC103	RDH14
POFUT2	SPO11
KBTBD2	LEPROTL1
RPAIN	ACOT12
LINC00582	ZNF675
ANKLE1	NUDT3
ADCK4	SIGMAR1
CHST3	UBE2MP1
UGT2B17	STAM2
TPO	NAP1L2
EIF5	RAB4A
IGHG4	COLEC10
CASC3	LMO4
HTATIP2	RBM34
XAB2	C1orf55
MMP23B	FAM98B
TNFRSF13C	FLYWCH1
SCN2A	CDC42EP5
TEF	MAP3K7IP1
SH3GL1	OTUB1
KRT19	DLX4
CELA3A	G6PD
IFIT3	PSORS7
AMBRA1	C8orf30B
ATP5S	COL13A1
HOOK3	RMDN2
DBNDD2	FAT2
FOXP2	ARFIP2
TBX20	KLK10
C1QB	APOBEC3D
EN2	C3orf36
STX19	DAW1
LRCH4	RIT1
GPR142	STXBP5L
KIAA0922	LINC00684
AMHR2	NPAL2
IPO4	C16orf45
TTC22	PCED1B
SLC25A32	KRTAP10-2
PCSK4	KIR3DL2
ANXA2R	SNORD90
HIST1H3I	XRCC1
UGT2B7	SORL1
C16orf73	MAN1A2
TLL1	ZNF135
MAP3K5	L1TD1
FOXI1	IGF1R
SLC17A4	CAP2
HAUS7	LINC00358
BLOC1S1	C5
KCNA10	C4A
CHMP3	PAPD4
LDOC1L	FBXO10
OR10G9	MRPL38
RPL39	GPR19
TEN1	DOK5
OR6F1	OR14J1
TBC1D10C	HAUS4
SMAD9	RGS9
FN1	SETX
LAMTOR4	PAN3
TRAJ43	MIR31
PRICKLE2	SNX17
THBS3	CKM
ZNF410	CCDC112
BBS10	GPR146
SRY	UBE2D4
LINC00508	SCAANT1
ATP8B3	LINC00609
MARCH10	KIAA0141
RNF26	ZNF521
TAS2R4	PRKCZ
SYDE1	CTHRC1
CALM1	TAOK3
ABCC4	LINC01019
SLC1A4	LINC00854
RRBP1	ELF5
ERBB2	MIR211
TGFBI	PPM1M
IL18BP	TIPIN
RAB3IP	CHMP3
MDFI	NUDT18
GREM2	PHYHIPL
LINC00092	DMWD
MAP7D3	XPO4
LINC00380	GRIN1
PECAM1	CLN9
CLC	HNF4A
BORA	CD40LG
OR2T11	XPNPEP3
RAPGEF5	SLITRK3
C3orf62	AMPH
FFAR2	DLL4
ZFP37	ACOT8
S1PR2	ORC6L
LINC00461	AIG1
LINC00391	GLP2R
KDM5C	KNDC1
IGFL1	AMH
DYT4	DENND2D
NICN1	KIF4B
GRINA	SHOC2
DGKI	REG1P
VIMP	CSPP1
LIN54	PALB2
TRB@	CDH19
STRA6	ZNF689
MLL	RRAS2
HS2ST1	MIR10B
UNC5CL	IPO5
KRTAP10-6	FRMPD4
GEMIN7	GALM
RTCA	LYRM4
OR4S1	ARHGAP21
EIF2C3	OR4F4
CEACAM5	HOXB7
HCL3	ERI3
MUT	PHF3
DESI2	MED11
CCL8	LINC00997
IGHG1	CCND3
RILPL2	MYH3
ADAM21	F3
HUNK	CCDC78
PCGF2	PEX1
CEP350	TNFRSF1A
C2orf27A	MYEF2
RRAS2	MTA2
METAP2	CAMK2B
BFSP2	SWAP70
D2HGDH	KIF16B
TRIP13	TINF2
HSP90B1	RNGTT
CA6	POLR3A
NPC1L1	SCEL
PBX2P1	ABR
STAC2	PDGFRA
MPHOSPH9	ZBTB8B
TRAJ8	ITIH3
C3orf57	KLK9
PIGP	DDC
LINC00163	NABP1
MIA2	MYO19
VMA21	H1FOO
GALNT11	RHOB
IGHA1	LTA4H
STRA8	FLOT1
AAR2	GAB4
RTN4R	RFNG
SELV	KRTAP23-1
THAP11	GATSL2
PDLIM5	MCF2L2
ANE1	ACPP
CTSH	RPP30
DSCR10	OR2C1
LINC01048	KCNIP4
SCHIP1	DDX39
LINC01078	SPG18
MAFF	C3orf62
HBD	AP1S1
BTBD8	ZNF784
PYROXD2	RECQL4
MGST3	PRUNE
TBCD	TM9SF2
AK3	AOX1
FOXK2	DHPS
SDHD	FANCD2
RPL13AP3	AMER1
OR10H3	NAA40
LINC00517	RGL4
SLFN13	C14orf147
KRTAP3-2	IBD6
AFA	MTRNR2L5
MIF4GD	STAG3L3
JADE2	FAM120A
RAI14	HIST1H2AD
FZD9	VPS45
TRAM2	TBPL2
INSL5	CACNA1I
LAMP5	MIA
TTC12	ZNF658
CTAGE15	PRDM1
FHDC1	AKR1D1
SIX4	DUSP1
GNB3	TXNRD3
LCMT2	PRR22
COL9A3	GAMT
TBX2	MED24
PTPRG	RSBN1L
SLC12A6	ALDH1A1
CD160	PTMS
Q9UPC2	P2RX2
PITPNM3	PCYOX1
ATP5C1	MLST8
CSF3R	TTLL10
POLR3B	SRP9
POC1B	TFG
CLIC6	B3GNT4
AMIGO3	KIAA1107
TRPM1	ERLEC1
TCEA3	ARID2
LINC00391	TMEM37
ASCC1	FRYL
LINC01075	KLF7
AGK	F10
EDN3	POLR1D
ZNF560	DCHS2
SGMS2	CTSV
GPC4	MURC
ZNF34	ADAT3
OPTN	CSDC2
RBMX	CNAP1
FOXD4L1	OR4D11
OR13F1	MLH1
ZFP92	HOXB@
POLR3G	APCS
VMAC	SELV
TMEM143	POLG
HSPG2	LARS2
CT62	LINC00167
TGM4	PPP1R7
RNF24	CRY1
POTEE	UGT2B4
OR56A3	CD8B
OR6N2	TLK2
VTI1B	LY6G5B
ARHGAP33	ANXA6
ARIH2	PROSER2
ZNF724P	CORIN
ACTR3C	SLC25A53
FN3KRP	KIF17
PDZK1	GORASP1
MT-ND5	SEMA7A
RBP1	IDDM12
ODF3	COA5
TRIP6	TMEM158
SPAG8	PDLIM7
LPAR6	CHRNA5
RRAS2	BCAT2
VARS2	SSX10
TTYH3	FMR3
FBXL8	ARHGEF4
SLC45A1	CAMK4
OLIG3	BTN3A3
MMP13	GPR111
PLEK2	SOX13
ZNF507	CCL7
NCBP2L	PHOX2B
VPS24	MTMR9
PPP3R2	ARL5A
SLC35A5	PARK3
TMOD3	USH2A
DHRS12	TCF8
ZNF844	MOGS
TRAJ41	KCNJ6
SMAD6	ZIM3
TAPBPL	CST9
RAC1	KLHL1
PAAF1	PPP1R3G
GGTA1P	PHGDH
PRG3	OR11H2
SMIM11	HIP1
RFFL	NQO1
IL3	MYST3
SNORD110	PLA2R1
PARK11	MZT2B
MBD5	CDKN1A
FCAR	LENG9
PTPN14	OR12D2
CLEC16A	GPR89B
USP37	TACR2
TRPC1	TEX29
PSMA7	CDYL
ANKRD49	BOLA2
TSNARE1	ESAM
MT1B	KIR2DL5A
SLC9A5	CPED1
CLDN17	MAPK11
NELL1	SNORD94
ATOX1	SGTA
LINC00850	SMC1B
ASB16-AS1	C11orf57
SIRT1	KIAA1279
TRERF1	GTF2H2
TIPRL	CACNG2
NTF3	PIWIL2
NDUFA12	ANKRD44
KRT71	CDC42EP2
IPPK	TDH
LINC00574	SPRYD7
MOB3A	SVOPL
BSND	HNRNPF
AES	NOS3
LIN37	LGALS1
SMURF2	ZNF277
C1orf64	GHR
ASB11	RPS23
SAMD14	ANXA13
IPMK	PRPS1
PHBP1	NTMT1
OR5AN1	PPP1R12A
LRCH2	MRX14
DOC2A	GPANK1
SLC16A8	DDX20
PIPSL	LINC00900
CCDC110	TIMD4
PCSK2	SYNPR
CTNNA2	PKMYT1
MEIS2	SLC5A7
TNF	HPGD
MARC2	GPR152
XKRY2	UXS1
TRNAA1	RABEP1
CSRP2	RBBP9
HLA-E	ZRANB1
SLC25A38	PBX4
CTSC	ELAC2
LRRC70	GRK3
PADI4	WNT3A
RNASE7	PIGQ
CACNG6	AHSP
MYO16	ISL1
DDX28	C1QBP
USP30	TRIM9
KCNK18	PNP
OR2B3	OR6C6
DNMT3B	GALNT3
MUC16	PTOV1
CCDC40	CLSTN1
DUSP10	GPR143
CCT7	PTPRS
TMOD2	MMP28
ZNF728	IRAK2
ZNF148	MROH2B
NONO	STRA13
NPY5R	ATG16L2
KRT6A	USP42
SNORA27	DAB2IP
MED20	TYMSOS
ATAD2	CCDC66
INSL3	LRRC25
NDUFS1	PNMA6B
CDK12	DEGS2
PRR26	KIAA1191
ARF6	MUS81
IFI27	HMGN5
LINC00299	LINC00694
C2orf47	RGAG1
CHRND	BMP3
DHRS7B	CCM2
GGCX	LINC00942
EPHB3	CCL2
ABCF1	BNIP3
HTR1E	CYP4F8
MKI67IP	TRIM26
TOR4A	LINC00972
SLC27A2	RNF130
LRIF1	OBFC1
THNSL2	LINC01069
RGS7BP	OR14K1
IDUA	MTG1
MAP3K8	SMAP1
PCBP2	DNAJC21
TUBB7P	LCMT2
AGAP8	SLC9B2
IDDM14	TMEM163
LINC00312	LRSAM1
TWIST2	OR1C1
HHLA3	SNORA70
LINC01004	FOXI1
LINC00889	SCMH1
INS	SRRM3
MAGEB6	ZNF205
ZNF575	GNRHR
MAP3K5	SNED1
MIS18A	GAB1
NUDT22	PEX1
ELL3	SDCCAG1
SNORA27	CDK7
DGCR6	SEMA6C
TPD52L1	SIL1
NPAS4	ZNF449
PCDHA14	MIR421
FLT3LG	RGS14
N4BP2L2	RNF208
RAB4A	KCNJ9
S100A4	A1BG
LINC00365	OSBPL1A
RALA	LINC01058
CCDC38	LRRC31
SPRTN	COMMD6
KLF10	EMC1
FABP5	LINC00691
SPIN2B	FGF10
IFNA6	CACUL1
NAA15	BPY2B
OR2AK2	NFATC1
ELAVL4	CISH
TXNDC3	LINC00659
BTBD12	TRIP4
FAM127C	SLC9A2
PIGG	MYEOV2
ISCA2	DRD3
SERPINA10	LOC158381
FOXL1	SHC2
FAM208A	FAM134B
TTC40	ITPKC
ANXA9	DBP
CASP7	FAM111A
ACACB	AQP7
MDGA1	IL11
ATP2B3	PCDHA14
TSSC1	PIFO
STMN2	ZNF322P1
CUL9	VIT
MUS81	FAM86A
TNIP3	UNC93B4
PTHLH	SF3A3
IRF2BP1	FKBP5
LINC01068	GSDMA
MANF	SLC25A52
PCDH19	DECR2
SLC25A4	DMBT1
VWF	DNAAF4
IWS1	DEFB117
FZD2	ACSM2B
JAZF1	GSR
ZNF527	MLL
DIP2B	LINC01010
EIF2AK3	DMC1
TUBG2	CDC42BPB
GRIP1	SRP9L1
FZD4	EDC3
MORC4	IGL
RBKS	TLX1
LARP4B	SYNPO2
ALDH4A1	ARHGAP40
OR5AK2	SMC2
DPY30	VCP
TP53RK	BAP1
CCNT2	FSCN1
GPR152	PPP1R3D
ADAM12	TAAR2
CENPBD1	USP41
DOCK6	FAM104B
PTPLA	ARPC3
JAGN1	ATG16L1
TNFRSF11A	AFMID
ITGA2	ZNF852
RAPGEF2	HINFP
C8orf30A	PREB
OS9	GNAT1
CACNA1B	NLE1
GEMIN6	STX17
MED27	TSSK3
CBX8	MLKL
OLFML2A	PALMD
TSHZ2	CBLN3
MPP1	NUDT16L1
ZNF510	TRAJ28
WDR69	C14orf138
DOK2	LINC01047
MOCS1	SPRYD7
BICD2	MINPP1
LTBP2	CPVL
GIMAP2	B4GALT2
SUN2	THAP11
NPTN	OR2AT4
ZIM3	TMA7
GPR113	SNRP70
GM2AP1	LINC01068
PDP2	ACER1
PSMA3	PBDC1
RABL3	SNX30
CD8A	MRT25
SGSM3	KLLN
HHC2	HSD11B2
FAM171A2	ASPG
MRGPRX2	PPFIBP2
TMEM237	GEMIN5
CLIC3	HNMT
MRGBP	FBN1
EXOC3L2	SCA18
SEC61A1	NBPF12
HIVEP1	FREM3
ARHGEF5	TUBGCP4
UNC5C	SERINC1
RFT1	COL14A1
TIMP2	FBXO40
EMC9	KCTD20
UBR3	KIAA2022
RP1L1	CNR2
KIAA1586	EEF2K
NRF1	TAF5L
PHACTR1	SPATA31D1
ZNF10	TUBAL3
DIMT1	SLC5A6
DDX53	PHLDB2
WNT7A	SNAP47
N6AMT2	DGKB
SNORD55	TMEM38B
HSD3B7	ABCC1
MPV17	ITIH5
FANCB	NDUFA5
FOXD4L1	DNAH17
ZNF98	MGARP
MYO9B	HOOK1
DDX27	ANKRD2
IFT80	NR2C2AP
WIPF1	SLC15A3
UQCRFSL1	KLF10
STRADB	HHLA1
CORO2A	TBC1D19
ING3	CLDN3
LINC00704	FZD3
PPM1K	HCG27
RAB4B	GRHL3
VDAC2	CCDC160
EIF4EBP1	NAP1L4
KDM4B	OSER1
RGS22	ZNF879
TAS2R46	MYH8
TUBB3	ARMCX1
ZFPL1	GPR128
EYA3	SPIB
PHF8	RHOBTB3
OR4F3	LEFTY1
HSPE1	CLCA2
KLHDC2	EXOSC8
HIST1H2BM	ST11
RNF169	OR5H14
CDK5R1	SYCP2L
ZZEF1	SERPINA4
SEC24D	SENP3
NRAS	UROD
PRPSAP2	AFAP1
UBE2Q2	OVCA2
GYPB	MT1A
ENAH	PRAME
FOXR1	NOP2
LRRC34	DM1
SLC26A10	WBP2
MT-ATP6	RPSAP58
JOSD2	NAIF1
GPR156	C9orf78
TMEM60	NLRP12
GJA8	KIF1C
LRP6	UXS1
CDKAL1	ATOH1
DHX30	SARNP
MELK	PRDM16
AKT1	SFRS18
ARSJ	CDC123
TXNDC3	MRT4
NUP153	DISC1
MT-ND2	PCSK5
SH2D6	POLM
FSD1	TRAJ60
PCDHGA11	HSPA13
FBN1	CAD
ATF4	RARS
ATP6V1C2	BTLA
OR5V1	C2CD2L
CXorf57	TOX3
B3GNTL1	ARFGEF1
PDK2	MRPL41
ATHL1	MECP2
ITPK1	TRPC2
CLEC2L	CCDC90A
KIAA1109	LINC00454
SNX18	ANKH
AEBP2	HEMK1
NUP85	CERS2
TINAGL1	MICB
SLC12A5	EVI5L
PRL	ECD
NEB	CERS1
NUDT10	LINC01034
LGR5	BLID
HOXB5	KCNAB1
SOCS3	SLC50A1
HIP1	CASKIN1
KLK7	KRT23
AIM1	ZDHHC17
ERBB4	FBXO34
VNN2	CDH5
PTX3	GABRR1
CABYR	SLC22A12
ITPKB	TADA2A
NCF2	REEP2
AMOTL1	F2RL2
ZNF232	SAMD10
ZNF337	RAB14
KLK15	PALLD
CPNE9	CCAR1
RPS24	GPR19
KRTAP21-2	SLC8A2
CASP12	LINC00528
ACTL8	IGKC
TRIM28	MIR130A
F2	BCOR
KLHL4	LINC00472
NKX6-2	SEMA3B
LIN52	SLC50A1
MYL7	TEX41
SCARA3	SLC2A9
CXXC4	PTH
CYP27A1	TMEM41B
RAB3IL1	RRP8
CDK2AP1	OSGEPL1
HCCAT5	RDH14
LPL	ZNF414
EFCC1	TMX3
GCC1	PTHLH
KRTAP3-2	ATP5I
LINC00909	TAP1
LEPREL2	SLC12A3
PEX26	GPD1
LINC00867	ATP6V0E2
MIR155	FAM216A
GAPVD1	LINC00844
OMD	OSTC
SLC25A52	TRIM39-RPP21
NCKIPSD	ANK3
HDGFRP2	KIZ
STH	PAK3
SPG56	CD27
MDP1	NEK6
KCNJ3	MUT
RGPD1	MTHFSD
SLC34A2	OR2T33
ITFG2	LINC00901
L3HYPDH	KRTAP8-1
OR5H15	KLHL20
FUK	ANKRD22
SNORD119	UBE2D4
VPS53	HOXD8
DCAF12	NRCAM
NEIL2	KCNN3
GCH1	SMARCAD1
SERHL	EVI5
DYT2	TCERG1
ALDH1A1	BCMO1
GTPBP10	TMEM186
UPF3B	TMEM261
STARD10	HOXA9
CES4A	BMPR1B
FAM126B	HABP2
WIPI1	HIST1H1A
RNASEH2C	DRAM2
C1QTNF9B	OR4F4
GNG3	ZNF529
AGRP	WDR66
OR6C74	PAX4
ZFP36	MIR16-1
BUB1B	MDC1
MAGEA9B	SAMD5
TTC6	THG1L
PEX10	XKRY2
CFH	MT1G
FAM195B	GTF2IRD1
MMP11	CA11
PPAN	OR2F1
FAM168B	SLC25A5
PPT1	TSSC2
